Year,Month,revenue
2016,9,126.9
2016,10,2112.07
2017,1,34801.19000000001
2017,2,12698.879999999996
2017,3,27876.100000000028
2017,4,78537.01999999996
2017,5,95682.72999999997
2017,6,61779.46999999999
2017,7,65862.17000000001
2017,8,64648.160000000025
2017,9,99359.17999999996
2017,10,72923.58
2017,11,217513.65999999983
2017,12,105830.65999999992
2018,1,165400.18999999977
2018,2,130189.43999999993
2018,3,203643.9699999997
2018,4,148295.4399999998
2018,5,215375.73999999976
2018,6,75268.17000000006
2018,7,97870.37999999992
2018,8,126953.67999999993
